mod;04.05.2015;07:24:58
usr;export
cpt;server
exe;INTREST_Export
lib;1
mrv;1
dvn;0
chs;ISO_LATIN_1
dss;full
dbn;ITSGMA120709
uid;14
cid;1
typ;R
eoh;

tbl;Node
atr;NODE_ID;LEVEL;VIRTUAL_TYPE;X;Y;VIRT_LINKID;VIRT_PERCENT;BIKE_DELAY;STATUS;NODE_OBJECTID;VIRT_LINK_OBJECTID
frm;decimal(10);decimal(3,1);decimal(1);decimal(9,7);decimal(9,7);decimal(10);decimal(7,4);decimal(3);string(1);decimal(20);decimal(20)
rec;10349689;0.0;0;16.3381428;48.2073140;-1;-1.0000;-1;"U";10349689;-1
rec;10349690;0.0;0;16.3366257;48.2054729;-1;-1.0000;-1;"U";10349690;-1
rec;10349691;0.0;0;16.3369135;48.2026546;-1;-1.0000;-1;"U";10349691;-1
rec;10349692;0.0;0;16.3373049;48.2007897;-1;-1.0000;-1;"U";10349692;-1
rec;10349693;0.0;0;16.3355518;48.2063374;-1;-1.0000;-1;"U";10349693;-1
rec;10349694;0.0;0;16.3345561;48.2064880;-1;-1.0000;-1;"U";10349694;-1
rec;10349695;0.0;0;16.3335861;48.2066352;-1;-1.0000;-1;"U";10349695;-1
rec;10349696;0.0;0;16.3321578;48.2068578;-1;-1.0000;-1;"U";10349696;-1
rec;10349697;0.0;0;16.3324314;48.2042340;-1;-1.0000;-1;"U";10349697;-1
rec;10349698;0.0;0;16.3338208;48.2040505;-1;-1.0000;-1;"U";10349698;-1
rec;10349699;0.0;0;16.3348003;48.2040952;-1;-1.0000;-1;"U";10349699;-1
rec;10349700;0.0;0;16.3357772;48.2041408;-1;-1.0000;-1;"U";10349700;-1
rec;10349701;0.0;0;16.3388831;48.2072214;-1;-1.0000;-1;"U";10349701;-1
rec;10349702;0.0;0;16.3395158;48.2071461;-1;-1.0000;-1;"U";10349702;-1
rec;10349703;0.0;0;16.3433941;48.2073375;-1;-1.0000;-1;"U";10349703;-1
rec;10349704;0.0;0;16.3432858;48.2070291;-1;-1.0000;-1;"U";10349704;-1
rec;10349705;0.0;0;16.3448483;48.2072687;-1;-1.0000;-1;"U";10349705;-1
rec;10349706;0.0;0;16.3451889;48.2071975;-1;-1.0000;-1;"U";10349706;-1
rec;10349707;0.0;0;16.3456061;48.2071138;-1;-1.0000;-1;"U";10349707;-1
rec;10349708;0.0;0;16.3451017;48.2069013;-1;-1.0000;-1;"U";10349708;-1
rec;10349709;0.0;0;16.3478414;48.2066520;-1;-1.0000;-1;"U";10349709;-1
rec;10349710;0.0;0;16.3432046;48.2065379;-1;-1.0000;-1;"U";10349710;-1
rec;10349711;0.0;0;16.3449315;48.2062437;-1;-1.0000;-1;"U";10349711;-1
rec;10349712;0.0;0;16.3383368;48.2061120;-1;-1.0000;-1;"U";10349712;-1
rec;10349713;0.0;0;16.3414003;48.2059359;-1;-1.0000;-1;"U";10349713;-1
rec;10349714;0.0;0;16.3448410;48.2057008;-1;-1.0000;-1;"U";10349714;-1
rec;10349715;0.0;0;16.3476035;48.2055481;-1;-1.0000;-1;"U";10349715;-1
rec;10349716;0.0;0;16.3336552;48.2060001;-1;-1.0000;-1;"U";10349716;-1
rec;10349717;0.0;0;16.3328461;48.2054846;-1;-1.0000;-1;"U";10349717;-1
rec;10349718;0.0;0;16.3337293;48.2053560;-1;-1.0000;-1;"U";10349718;-1
rec;10349719;0.0;0;16.3346628;48.2053868;-1;-1.0000;-1;"U";10349719;-1
rec;10349720;0.0;0;16.3356371;48.2054279;-1;-1.0000;-1;"U";10349720;-1
rec;10349721;0.0;0;16.3385147;48.2042599;-1;-1.0000;-1;"U";10349721;-1
rec;10349722;0.0;0;16.3415311;48.2043244;-1;-1.0000;-1;"U";10349722;-1
rec;10349723;0.0;0;16.3449514;48.2043124;-1;-1.0000;-1;"U";10349723;-1
rec;10349724;0.0;0;16.3460037;48.2043005;-1;-1.0000;-1;"U";10349724;-1
rec;10349725;0.0;0;16.3472624;48.2042881;-1;-1.0000;-1;"U";10349725;-1
rec;10349726;0.0;0;16.3476289;48.2042897;-1;-1.0000;-1;"U";10349726;-1
rec;10349727;0.0;0;16.3339967;48.2025385;-1;-1.0000;-1;"U";10349727;-1
rec;10349728;0.0;0;16.3349457;48.2025778;-1;-1.0000;-1;"U";10349728;-1
rec;10349729;0.0;0;16.3359173;48.2026146;-1;-1.0000;-1;"U";10349729;-1
rec;10349730;0.0;0;16.3386645;48.2027277;-1;-1.0000;-1;"U";10349730;-1
rec;10349731;0.0;0;16.3403159;48.2027979;-1;-1.0000;-1;"U";10349731;-1
rec;10349732;0.0;0;16.3416595;48.2028108;-1;-1.0000;-1;"U";10349732;-1
rec;10349733;0.0;0;16.3431776;48.2027943;-1;-1.0000;-1;"U";10349733;-1
rec;10349734;0.0;0;16.3450087;48.2027897;-1;-1.0000;-1;"U";10349734;-1
rec;10349735;0.0;0;16.3460185;48.2027908;-1;-1.0000;-1;"U";10349735;-1
rec;10349736;0.0;0;16.3468923;48.2027913;-1;-1.0000;-1;"U";10349736;-1
rec;10349737;0.0;0;16.3326202;48.2007879;-1;-1.0000;-1;"U";10349737;-1
rec;10349738;0.0;0;16.3341247;48.2011516;-1;-1.0000;-1;"U";10349738;-1
rec;10349739;0.0;0;16.3360478;48.2014290;-1;-1.0000;-1;"U";10349739;-1
rec;10349740;0.0;0;16.3387198;48.2021894;-1;-1.0000;-1;"U";10349740;-1
rec;10349741;0.0;0;16.3388193;48.2017171;-1;-1.0000;-1;"U";10349741;-1
rec;10349742;0.0;0;16.3405112;48.2018491;-1;-1.0000;-1;"U";10349742;-1
rec;10349743;0.0;0;16.3432222;48.2018372;-1;-1.0000;-1;"U";10349743;-1
rec;10349744;0.0;0;16.3450240;48.2018342;-1;-1.0000;-1;"U";10349744;-1
rec;10349745;0.0;0;16.3459580;48.2018060;-1;-1.0000;-1;"U";10349745;-1
rec;10349746;0.0;0;16.3469582;48.2017880;-1;-1.0000;-1;"U";10349746;-1
rec;10349747;0.0;0;16.3388796;48.2012647;-1;-1.0000;-1;"U";10349747;-1
rec;10349748;0.0;0;16.3322667;48.1994142;-1;-1.0000;-1;"U";10349748;-1
rec;10349749;0.0;0;16.3333057;48.1997008;-1;-1.0000;-1;"U";10349749;-1
rec;10349750;0.0;0;16.3342512;48.1999651;-1;-1.0000;-1;"U";10349750;-1
rec;10349751;0.0;0;16.3351688;48.2002147;-1;-1.0000;-1;"U";10349751;-1
rec;10349752;0.0;0;16.3363977;48.2005581;-1;-1.0000;-1;"U";10349752;-1
rec;10349753;0.0;0;16.3392638;48.2002152;-1;-1.0000;-1;"U";10349753;-1
rec;10349754;0.0;0;16.3408001;48.2003556;-1;-1.0000;-1;"U";10349754;-1
rec;10349755;0.0;0;16.3432324;48.2003668;-1;-1.0000;-1;"U";10349755;-1
rec;10349756;0.0;0;16.3450149;48.2003700;-1;-1.0000;-1;"U";10349756;-1
rec;10349757;0.0;0;16.3459552;48.2003744;-1;-1.0000;-1;"U";10349757;-1
rec;10349758;0.0;0;16.3470493;48.2003372;-1;-1.0000;-1;"U";10349758;-1
rec;10349759;0.0;0;16.3483406;48.2003120;-1;-1.0000;-1;"U";10349759;-1
rec;10349760;0.0;0;16.3340419;48.1984834;-1;-1.0000;-1;"U";10349760;-1
